epoch,lr-AdamW,step,test/hr@10,test/hr@100,test/hr@200,test/hr@50,test/mrr,test/ndcg@10,test/ndcg@100,test/ndcg@200,test/ndcg@50,train/loss_epoch,train/loss_step,val/hr@10,val/hr@100,val/hr@200,val/hr@50,val/mrr,val/ndcg@10,val/ndcg@100,val/ndcg@200,val/ndcg@50
47,,3647,,,,,,,,,,0.47105929255485535,,,,,,,,,,
,1.3903222849333505e-05,3649,,,,,,,,,,,,,,,,,,,,
48,,3649,,,,,,,,,,,0.4578898251056671,,,,,,,,,
,1.3903222849333505e-05,3699,,,,,,,,,,,,,,,,,,,,
48,,3699,,,,,,,,,,,0.4360899031162262,,,,,,,,,
48,,3723,,,,,,,,,,0.47108134627342224,,,,,,,,,,
,1.0976769428005579e-05,3749,,,,,,,,,,,,,,,,,,,,
49,,3749,,,,,,,,,,,0.49841243028640747,,,,,,,,,
,1.0976769428005579e-05,3799,,,,,,,,,,,,,,,,,,,,
49,,3799,,,,,,,,,,,0.5091911554336548,,,,,,,,,
49,,3799,,,,,,,,,,,,0.18625827133655548,0.565397322177887,0.6730132699012756,0.4321191906929016,0.08359065651893616,0.09696764498949051,0.17186515033245087,0.18692828714847565,0.15013423562049866
49,,3799,,,,,,,,,,0.4706597328186035,,,,,,,,,,
,1e-05,3849,,,,,,,,,,,,,,,,,,,,
50,,3849,,,,,,,,,,,0.4690721035003662,,,,,,,,,
50,,3875,,,,,,,,,,0.4716947376728058,,,,,,,,,,
,1.0976769428005579e-05,3899,,,,,,,,,,,,,,,,,,,,
51,,3899,,,,,,,,,,,0.44955214858055115,,,,,,,,,
,1.0976769428005579e-05,3949,,,,,,,,,,,,,,,,,,,,
51,,3949,,,,,,,,,,,0.46616628766059875,,,,,,,,,
51,,3951,,,,,,,,,,,,0.18625827133655548,0.5662251710891724,0.6730132699012756,0.4329470098018646,0.08335822820663452,0.0967625230550766,0.17176790535449982,0.18670588731765747,0.15006527304649353
51,,3951,,,,,,,,,,0.47059595584869385,,,,,,,,,,
,1.3903222849333451e-05,3999,,,,,,,,,,,,,,,,,,,,
52,,3999,,,,,,,,,,,0.4831143021583557,,,,,,,,,
52,,4027,,,,,,,,,,0.47111836075782776,,,,,,,,,,
,1.8767810889299133e-05,4049,,,,,,,,,,,,,,,,,,,,
53,,4049,,,,,,,,,,,0.4670937955379486,,,,,,,,,
,1.8767810889299133e-05,4099,,,,,,,,,,,,,,,,,,,,
53,,4099,,,,,,,,,,,0.49733859300613403,,,,,,,,,
53,,4103,,,,,,,,,,,,0.18294702470302582,0.5678808093070984,0.6738410592079163,0.43543046712875366,0.08346302062273026,0.09586437791585922,0.17210032045841217,0.18689550459384918,0.15060147643089294
53,,4103,,,,,,,,,,0.47054553031921387,,,,,,,,,,
,2.555133524132755e-05,4149,,,,,,,,,,,,,,,,,,,,
54,,4149,,,,,,,,,,,0.49143144488334656,,,,,,,,,
54,,4179,,,,,,,,,,0.47087836265563965,,,,,,,,,,
,3.422702443389893e-05,4199,,,,,,,,,,,,,,,,,,,,
55,,4199,,,,,,,,,,,0.4527202546596527,,,,,,,,,
,3.422702443389893e-05,4249,,,,,,,,,,,,,,,,,,,,
55,,4249,,,,,,,,,,,0.47815996408462524,,,,,,,,,
55,,4255,,,,,,,,,,,,0.18543046712875366,0.565397322177887,0.6730132699012756,0.4362582862377167,0.08365599811077118,0.09669757634401321,0.17181234061717987,0.18687252700328827,0.1508384793996811
55,,4255,,,,,,,,,,0.4713475704193115,,,,,,,,,,
,4.47606394853155e-05,4299,,,,,,,,,,,,,,,,,,,,
56,,4299,,,,,,,,,,,0.4913589060306549,,,,,,,,,
56,,4331,,,,,,,,,,0.47240257263183594,,,,,,,,,,
,5.711060902932022e-05,4349,,,,,,,,,,,,,,,,,,,,
57,,4349,,,,,,,,,,,0.5047853589057922,,,,,,,,,
,5.711060902932022e-05,4399,,,,,,,,,,,,,,,,,,,,
57,,4399,,,,,,,,,,,0.46892866492271423,,,,,,,,,
57,,4407,,,,,,,,,,,,0.18543046712875366,0.5620861053466797,0.6713576316833496,0.4387417137622833,0.08384936302900314,0.09690076112747192,0.17144577205181122,0.18679971992969513,0.15139618515968323
57,,4407,,,,,,,,,,0.4721706509590149,,,,,,,,,,
,7.122819337828753e-05,4449,,,,,,,,,,,,,,,,,,,,
58,,4449,,,,,,,,,,,0.4798297882080078,,,,,,,,,
58,,4483,,,,,,,,,,0.47173845767974854,,,,,,,,,,
,8.705767687650243e-05,4499,,,,,,,,,,,,,,,,,,,,
59,,4499,,,,,,,,,,,0.4680655002593994,,,,,,,,,
,8.705767687650243e-05,4549,,,,,,,,,,,,,,,,,,,,
59,,4549,,,,,,,,,,,0.47150254249572754,,,,,,,,,
59,,4559,,,,,,,,,,,,0.18874172866344452,0.5645695328712463,0.6738410592079163,0.43543046712875366,0.08457618951797485,0.09831921011209488,0.1725476086139679,0.1878294199705124,0.1515296995639801
59,,4559,,,,,,,,,,0.4726375639438629,,,,,,,,,,
,0.00010453658778440077,4599,,,,,,,,,,,,,,,,,,,,
60,,4599,,,,,,,,,,,0.5052836537361145,,,,,,,,,
60,,4635,,,,,,,,,,0.47310566902160645,,,,,,,,,,
,0.00012359594482598424,4649,,,,,,,,,,,,,,,,,,,,
61,,4649,,,,,,,,,,,0.4725177586078644,,,,,,,,,
,0.00012359594482598424,4699,,,,,,,,,,,,,,,,,,,,
61,,4699,,,,,,,,,,,0.4994155466556549,,,,,,,,,
61,,4711,,,,,,,,,,,,0.18874172866344452,0.567052960395813,0.6738410592079163,0.43377482891082764,0.08309556543827057,0.09719761461019516,0.17161984741687775,0.18654799461364746,0.1499711126089096
61,,4711,,,,,,,,,,0.47304627299308777,,,,,,,,,,
,0.00014416052942640108,4749,,,,,,,,,,,,,,,,,,,,
62,,4749,,,,,,,,,,,0.46849435567855835,,,,,,,,,
62,,4787,,,,,,,,,,0.4733840823173523,,,,,,,,,,
,0.00016614918256529902,4799,,,,,,,,,,,,,,,,,,,,
63,,4799,,,,,,,,,,,0.4920301139354706,,,,,,,,,
,0.00016614918256529902,4849,,,,,,,,,,,,,,,,,,,,
63,,4849,,,,,,,,,,,0.4772585928440094,,,,,,,,,
